title,rg_refs,chunk_type,text,batch_id,agentic_chunk_id,source,method,text_length,has_title,has_text,has_rg_refs,too_short,too_long,passes_basic_qa
Dispute resolution requirements for credit licensees acting on behalf of exempt SPFEs,['RG 271.4'],requirement,A credit licensee acting on behalf of an exempt SPFE must: notify ASIC when entering into a servicing agreement with the exempt SPFE and provide AFCA membership details; notify ASIC when ceasing to be a party to the servicing agreement; ensure their IDR process covers the exempt SPFE’s activities and complaints arising when acting as the exempt SPFE’s representative; and inform complainants of their right to complain to AFCA or refer them directly to AFCA.,1,batch_1_chunk_7,ASIC RG 271,agentic_rg_aware,460,True,True,True,False,False,True
Dispute resolution requirements for financial technology (fintech) businesses relying on the enhanced regulatory sandbox exemption,['RG 271.4'],requirement,Fintech businesses relying on the enhanced regulatory sandbox (ERS) exemption under the Corporations (FinTech Sandbox Australian Financial Services Licence Exemption) Regulations 2020 and National Consumer Credit Protection (FinTech Sandbox Australian Credit Licence Exemption) Regulations 2020 must have a dispute resolution system consisting of: an IDR procedure complying with ASIC standards and requirements; and membership of AFCA. Note: See Information Sheet 248 Enhanced regulatory sandbox (INFO 248) at Table 4.,1,batch_1_chunk_8,ASIC RG 271,agentic_rg_aware,519,True,True,True,False,False,True
Objectives of Chapter 7 of the Corporations Act,['RG 271.5'],overview,"The objectives of Ch 7 of the Corporations Act are to promote: (a) the confident and informed participation of consumers and investors in the Australian financial system (also an objective of ASIC under s1 of the Australian Securities and Investments Commission Act 2001); (b) fairness, honesty and professionalism by those who provide financial services; (c) fair, orderly and transparent markets; and (d) the reduction of systemic risks. Note: See s760A of the Corporations Act.",2,batch_2_chunk_0,ASIC RG 271,agentic_rg_aware,480,True,True,True,False,False,True
ASIC's Role in Overseeing the Dispute Resolution System,['RG 271.6'],overview,"Within this framework, we are responsible for overseeing the effective operation of the dispute resolution system, which includes setting the standards and requirements for financial firms’ IDR processes and oversight of AFCA.",2,batch_2_chunk_1,ASIC RG 271,agentic_rg_aware,226,True,True,True,False,False,True
Considerations When Making or Approving IDR Standards,['RG 271.7'],requirement,"We must, when considering whether to make or approve standards or requirements relating to IDR, take into account: (a) AS/NZS 10002:2014; and Note: AS/NZS 10002:2014 is published by SAI Global and available for purchase on their website. It is also available through public libraries across Australia. (b) any other matter we consider relevant. Note: See regs 7.6.02(1)(a) and 7.9.77(1)(a) of the Corporations Regulations 2001 (Corporations Regulations) and reg 10(1)(a) and item 2.20 of Sch 2 to the National Credit Regulations.",2,batch_2_chunk_2,ASIC RG 271,agentic_rg_aware,529,True,True,True,False,False,True
Enforceability of IDR Standards and Requirements,"['RG 271.8', 'RG 271.9']",requirement,"The standards and requirements set out in ASIC Corporations, Credit and Superannuation (Internal Dispute Resolution) Instrument 2020/98 and highlighted in this guide are enforceable. Other highlighted requirements in this guide reflect existing legal requirements and are also enforceable. The parts of this guide that we have not highlighted or set out in the instrument are guidance to help financial firms comply with their legal obligations.",2,batch_2_chunk_3,ASIC RG 271,agentic_rg_aware,445,True,True,True,False,False,True
Variation or Revocation of IDR Standards and Requirements,['RG 271.10'],requirement,"We may vary or revoke: (a) a standard or requirement that we have made for IDR; and (b) the operation of a standard or requirement that we have approved in its application to IDR. Note: See regs 7.6.02(2) and 7.9.77(2) of the Corporations Regulations, and reg 10(2) and item 2.20 of Sch 2 to the National Credit Regulations.",2,batch_2_chunk_4,ASIC RG 271,agentic_rg_aware,324,True,True,True,False,False,True
Purpose of the IDR Requirements,['RG 271.11'],overview,"We have made the requirements in this guide to meet our statutory obligations and, in doing so, promote fair consumer outcomes.",2,batch_2_chunk_5,ASIC RG 271,agentic_rg_aware,127,True,True,True,True,False,False
Importance of Internal Dispute Resolution (IDR),"['RG 271.12', 'RG 271.13']",overview,"Consumer and small business access to fair, timely and effective dispute resolution is an essential part of the financial services consumer protection framework. It is consistent with ASIC’s function of promoting consumer protection in the Australian financial system. Note: See s12A(2) of the Australian Securities and Investments Commission Act 2001. As the first step in the financial dispute resolution framework, IDR provides an opportunity for redress to millions of consumers and small businesses each year.",2,batch_2_chunk_6,ASIC RG 271,agentic_rg_aware,514,True,True,True,False,False,True
Benefits of Effective Internal Dispute Resolution,['RG 271.14'],overview,The Ramsay Review’s Final report: Review of the financial system external dispute resolution and complaints framework (Ramsay Review final report) stated at p. 189: Effective IDR benefits both firms and consumers. IDR is an important element of financial firms’ overall relationship with their customers and is the primary avenue for aggrieved consumers to seek redress. Pressure on [external dispute resolution] is reduced when complaints are resolved directly between firms and their customers.,2,batch_2_chunk_7,ASIC RG 271,agentic_rg_aware,496,True,True,True,False,False,True
Encouraging a Positive Complaint Management Culture,['RG 271.15'],requirement,"We encourage all financial firms to cultivate an organisational culture that welcomes feedback and values complaints. A positive complaint management culture can produce beneficial outcomes for both consumers and firms, including: (a) the opportunity to resolve complaints quickly and directly; (b) the promotion of trusted relationships between the parties; (c) improved levels of consumer confidence and satisfaction; (d) greater understanding of the key drivers of complaints; (e) the ability to identify emerging issues and inform product and service delivery improvements; and (f) reduced AFCA and future remediation costs.",2,batch_2_chunk_8,ASIC RG 271,agentic_rg_aware,628,True,True,True,False,False,True
Components of a Robust IDR Process,['RG 271.16'],requirement,"To develop and maintain a positive complaint management culture, financial firms should have a robust IDR process, including all procedures, documents, policies, resources, governance and arrangements in place to manage complaints.",2,batch_2_chunk_9,ASIC RG 271,agentic_rg_aware,231,True,True,True,False,False,True
Areas for Improvement in IDR Processes,['RG 271.17'],requirement,"Many firms have addressed the foundational aspects of their IDR process. However, we consider more progress can be made in key areas, including: (a) achieving organisation-wide understanding of the definition of ‘complaint’ and the types of matters that must be dealt with in a firm’s IDR process; (b) increasing the capture, tracking, analysis and reporting of complaint data; (c) improving timeliness and efficiency; (d) enhancing the quality of written communications and IDR responses; (e) strengthening complaint management skills; (f) fostering organisation-wide accountability for complaint management; and (g) leveraging the power of technology and data analytics to improve both the IDR process and the products and services offered by financial firms.",2,batch_2_chunk_10,ASIC RG 271,agentic_rg_aware,761,True,True,True,False,False,True
Application of IDR Requirements to Consumer Complaints,['RG 271.18'],requirement,The IDR requirements set out in this guide apply to any expression of dissatisfaction made by a consumer that meets the definition of ‘complaint’ set out in AS/NZS 10002:2014.,2,batch_2_chunk_11,ASIC RG 271,agentic_rg_aware,175,True,True,True,False,False,True
Guidance on Types of Consumers Covered by IDR Processes,['RG 271.19'],guidance,We have provided guidance on the types of consumer (including small businesses) that financial firms’ IDR processes should cover.,2,batch_2_chunk_12,ASIC RG 271,agentic_rg_aware,129,True,True,True,True,False,False
Tailoring IDR Processes to Business Characteristics,['RG 271.20'],guidance,"Financial firms may tailor their IDR process to suit the nature, scale and complexity of their business. We have provided guidance on the issues firms should consider when tailoring their process.",2,batch_2_chunk_13,ASIC RG 271,agentic_rg_aware,196,True,True,True,False,False,True
Outsourcing of IDR Processes and Firm Responsibilities,['RG 271.21'],guidance,"Financial firms may also outsource part or all of their IDR process. For guidance on the responsibilities that still apply to firms that have outsourced their IDR process, see.",2,batch_2_chunk_14,ASIC RG 271,agentic_rg_aware,176,True,True,True,False,False,True
Contents of the Guide Regarding IDR and AFCA Interaction,"['RG 271.22', 'RG 271.106']",overview,This guide sets out: (a) the definition of ‘complaint’ set out in AS/NZS 10002:2014 (see RG 271.106); (d) our requirements for how financial firms’ IDR processes and procedures will interact with AFCA.,2,batch_2_chunk_15,ASIC RG 271,agentic_rg_aware,201,True,True,True,False,False,True
Overview of IDR obligations and systemic issues,['RG 271.116'],overview,(e) the requirements for identifying and escalating systemic issues (see Section D); and (f) our IDR standards (see Section E).,3,batch_3_chunk_0,ASIC RG 271,agentic_rg_aware,127,True,True,True,True,False,False
Tailoring IDR obligations to financial firms,['RG 271.23'],requirement,"There are many different kinds of financial firms providing a diverse range of financial products and services. We do not take a ‘one size fits all’ approach to regulation. What firms need to do to comply with their IDR obligations will vary according to the nature, scale and complexity of their business.",3,batch_3_chunk_1,ASIC RG 271,agentic_rg_aware,306,True,True,True,False,False,True
Factors for establishing or reviewing an IDR process,['RG 271.24'],requirement,"When reviewing or establishing an IDR process, a financial firm should take into account: (a) the size of their business and the number of people in the organisation; (b) the products and services offered and the volume and size of transactions the firm is responsible for; (c) the nature of their customer base; (d) the diversity and structure of their operations (including the extent to which the IDR function is outsourced); and (e) the likely number and complexity of complaints.",3,batch_3_chunk_2,ASIC RG 271,agentic_rg_aware,484,True,True,True,False,False,True
Transition period for IDR reforms,['RG 271.25'],requirement,"We acknowledge that some of the IDR reforms in this guide represent change for some financial firms. Firms will need to undertake internal capacity building, establish clear lines of reporting and accountability, develop processes and systems, and upskill staff who are responsible for dealing with complaints.",3,batch_3_chunk_3,ASIC RG 271,agentic_rg_aware,310,True,True,True,False,False,True
Application date and transitional arrangements for IDR requirements,['RG 271.26'],timeframe,"The standards, requirements and guidance in this guide apply to complaints received by financial firms on or after 5 October 2021. Note: For complaints received by financial firms before 5 October 2021, Regulatory Guide 165 Licensing: Internal and external dispute resolution (RG 165) applies. We will withdraw RG 165 on 5 October 2022.",3,batch_3_chunk_4,ASIC RG 271,agentic_rg_aware,336,True,True,True,False,False,True
Key points on application of IDR requirements,['RG 271.26'],requirement,"A financial firm must have an IDR process that adopts the definition of ‘complaint’ set out in AS/NZS 10002:2014. Financial firms must deal with expressions of dissatisfaction that meet this definition (including complaints made on the firm’s social media platform(s)) through their IDR process. The IDR process must meet the IDR requirements set out in this guide. An IDR process for financial service providers must be able to deal with complaints made by ‘retail clients’. We have modified the definition of ‘small business’ in s761G of the Corporations Act to align with the broader definition of ‘small business’ set out in the AFCA’s Complaint Resolution Scheme Rules (AFCA Rules). Financial firms may tailor their IDR process to suit the nature, scale and complexity of their business. If they outsource part or all of their IDR process, the IDR requirements still apply.",3,batch_3_chunk_5,ASIC RG 271,agentic_rg_aware,878,True,True,True,False,False,True
Definition of ‘complaint’ from AS/NZS 10002:2014,['RG 271.27'],definition,"AS/NZS 10002:2014 sets out the following definition of ‘complaint’ at p. 6: [An expression] of dissatisfaction made to or about an organization, related to its products, services, staff or the handling of a complaint, where a response or resolution is explicitly or implicitly expected or legally required.",3,batch_3_chunk_6,ASIC RG 271,agentic_rg_aware,306,True,True,True,False,False,True
Requirement to deal with expressions of dissatisfaction as complaints,['RG 271.28'],requirement,"A financial firm must deal with expressions of dissatisfaction that satisfy this definition under its IDR process, which in turn must meet the requirements set out in this guide. Note: We interpret the words ‘or about an organization’ in the definition to cover expressions of dissatisfaction made on social media in accordance with RG 271.32(a). We do not require these words to be read any more broadly than this.",3,batch_3_chunk_7,ASIC RG 271,agentic_rg_aware,415,True,True,True,False,False,True
Scope of complaints covered by AFS and credit licensees,['RG 271.29'],requirement,"AFS licensees’ IDR processes must cover ‘complaints’ against the licensee: see s912A of the Corporations Act. Credit licensees’ IDR processes must cover ‘disputes in relation to the credit activities engaged in by the licensee’: see s47 of the National Credit Act. In this guide, we use ‘complaint’ to mean both ‘complaints’ and ‘disputes’ as used in those requirements. Similarly, we use the word ‘complainant’ to refer to a person either making a complaint against an AFS licensee or raising a dispute about credit activities that are engaged in by a credit licensee.",3,batch_3_chunk_8,ASIC RG 271,agentic_rg_aware,569,True,True,True,False,False,True
Proactive approach to identifying complaints,['RG 271.30'],requirement,"We expect firms to take a proactive approach to identifying complaints. A response or resolution is ‘explicitly expected’ if a consumer clearly requests it. It is ‘implicitly expected’ if the consumer raises the expression of dissatisfaction in a way that implies the consumer reasonably expects the firm to respond and/or take specific action. A consumer or small business is not required to expressly state the word ‘complaint’ or ‘dispute’, or put their complaint in writing, to trigger a financial firm’s obligation to deal with a matter according to our IDR requirements. Note: Our guidance about accessibility of the IDR process, including complaint lodgement methods, is set out in",3,batch_3_chunk_9,ASIC RG 271,agentic_rg_aware,688,True,True,True,False,False,True
Expressions of dissatisfaction must not be misclassified,['RG 271.31'],requirement,"Financial firms should not categorise an expression of dissatisfaction that meets the definition of ‘complaint’ as ‘feedback’, an ‘inquiry’, a ‘comment’ or similar (and therefore not to be dealt with in the firm’s IDR process) merely because: (a) the complainant expresses their dissatisfaction verbally; (b) the firm considers that the matter does not have merit; or (c) a goodwill payment is made to the complainant to resolve the matter without any admission of error.",3,batch_3_chunk_10,ASIC RG 271,agentic_rg_aware,471,True,True,True,False,False,True
Complaints made on social media channels,['RG 271.32'],requirement,"Under this guide, the following expressions of dissatisfaction are complaints: (a) posts (that meet the definition of ‘complaint’ set out in RG 271.27) on a social media channel or account owned or controlled by the financial firm that is the subject of the post, where the author is both identifiable and contactable; Note 1: We do not expect financial firms to seek to identify complaints made on third party social media accounts or channels. Note 2: When responding to a complaint made on social media in accordance with RG 271.32(a), a financial firm must ensure consumer privacy is protected. Note 3: Representatives of financial firms must refer complaints made on social media in accordance with",3,batch_3_chunk_11,ASIC RG 271,agentic_rg_aware,703,True,True,True,False,False,True
Examples of matters not considered complaints,['RG 271.32'],definition,"RG 271.32(a) to their licensee, as they are required to do for complaints they receive through other channels. (b) an objection to a proposed decision about how and to whom to pay a superannuation death benefit distribution; (c) complaints about a matter that is the subject of an existing remediation program or about the remediation program itself (e.g. delays, lack of communication); (d) complaints about the handling of an insurance claim (e.g. excessive delays or unreasonable information requests). What is not a ‘complaint’",4,batch_4_chunk_0,ASIC RG 271,agentic_rg_aware,531,True,True,True,False,False,True
Clarification of what is not a complaint,['RG 271.33'],definition,"RG 271.33 For avoidance of doubt, we do not consider the following to be ‘complaints’: (a) employment-related complaints raised by financial firm staff; (b) comments made about a firm where a response is not expected, such as: (i) feedback provided in surveys; or (ii) reports intended solely to bring a matter to a financial firm’s attention—for example, that an automatic teller machine (ATM) is damaged; (c) hardship notices or requests to postpone enforcement proceedings, unless the customer raises issues that meet the definition of complaint; and (d) reports of unauthorised transactions under the ePayments Code and disputed transactions under a chargeback process. However, we consider that a complaint has been made if the consumer raises separate issues related to the transaction that meet the definition of a complaint, or expresses dissatisfaction with the outcome or handling of the unauthorised or disputed transaction. Note: The ePayments Code contains special arrangements for dealing with reports of unauthorised transactions.",4,batch_4_chunk_1,ASIC RG 271,agentic_rg_aware,1045,True,True,True,False,False,True
Variations in complaint management structures,['RG 271.34'],overview,"RG 271.34 Financial firms structure and resource their complaint management function(s) differently. Smaller firms may have one person responsible for complaints, along with other duties. Medium-sized and large firms may empower their frontline staff to resolve complaints at the first point of contact, and also provide further opportunities for matters to be considered by a specialist complaints team if complainants are not satisfied with the initial action taken. Some firms, especially in the banking sector, also offer customer advocates as an additional escalation point.",4,batch_4_chunk_2,ASIC RG 271,agentic_rg_aware,579,True,True,True,False,False,True
Trigger for obligation to handle complaints,"['RG 271.35', 'RG 271.27']",requirement,"RG 271.35 Regardless of a firm’s structure, it is the complainant’s expression of dissatisfaction (that meets the definition of ‘complaint’ in RG 271.27) that triggers a firm’s obligation to deal with the matter according to our IDR requirements, not the referral of a complaint to a specialist complaints or IDR team.",4,batch_4_chunk_3,ASIC RG 271,agentic_rg_aware,318,True,True,True,False,False,True
Minimum scope of IDR process for retail clients,['RG 271.36'],requirement,"RG 271.36 Any IDR process for financial service providers must be able to deal, at a minimum, with complaints made by ‘retail clients’, as defined by s761G of the Corporations Act and its related regulations.",4,batch_4_chunk_4,ASIC RG 271,agentic_rg_aware,208,True,True,True,False,False,True
Definition of small business under AFCA Rules,['RG 271.37'],definition,"RG 271.37 The AFCA Rules define ‘small business’ as a business that had less than 100 employees at the time of the act or omission by the financial firm that gave rise to the complaint: see Section E.1 of the AFCA Rules. A small business includes a primary producer, if that primary producer is also a small business. Note 1: The AFCA Rules define a primary producer as a primary production business within the meaning of s995.1(1) of the Income Tax Assessment Act 1997. Note 2: The AFCA Rules exclude from AFCA’s jurisdiction a complaint where a complainant is a member of a group of related bodies corporate and that group has 100 employees or more.",4,batch_4_chunk_5,ASIC RG 271,agentic_rg_aware,651,True,True,True,False,False,True
Modification of small business definition for IDR purposes,['RG 271.38'],requirement,RG 271.38 We have modified (for IDR purposes only) the definition of ‘small business’ in s761G of the Corporations Act to align it with the broader definition in the AFCA Rules. This guarantees consistent dispute resolution access for small business complainants through both IDR and external dispute resolution (EDR).,4,batch_4_chunk_6,ASIC RG 271,agentic_rg_aware,318,True,True,True,False,False,True
IDR process requirements for traditional trustee complaints,['RG 271.39'],requirement,"RG 271.39 The IDR process for trustee companies providing traditional services (traditional trustees) must be able to deal with complaints made by retail clients. For traditional services, these specifically include individuals and small businesses who: (a) directly engage a trustee company to provide traditional services (e.g. to prepare a will, trust instrument, power of attorney or agency arrangement); and (b) do not directly engage the services of the trustee company, but who may request an information return. These persons include: (i) beneficiaries (including beneficiaries named in a deceased’s will, people who have an interest in the estate of someone who has died without a will, and people who have commenced legal proceedings to be included as a beneficiary of a deceased’s estate); and (ii) certain other persons involved in charitable and other trusts (e.g. the settlor of a trust, or a person who has the power to appoint or remove a trustee or vary any of the terms of the trust). Note: See s601RAB(3) and 761G of the Corporations Act, and regs 7.1.28A and 5D.2.01 of the Corporations Regulations.",4,batch_4_chunk_7,ASIC RG 271,agentic_rg_aware,1119,True,True,True,False,False,True
Information return requirements for trusts,['RG 271.40'],requirement,"RG 271.40 An ‘information return’ needs to include certain information about the trust, including information about income earned on the trust’s assets, expenses and the net value of the trust’s assets: see s601RAC(1)(e) of the Corporations Act and regs 5D.2.01, 5D.2.02 and 7.1.28A of the Corporations Regulations.",4,batch_4_chunk_8,ASIC RG 271,agentic_rg_aware,315,True,True,True,False,False,True
IDR process requirements for superannuation-related complaints,['RG 271.41'],requirement,"RG 271.41 There are specific requirements for IDR processes for regulated superannuation funds (except for SMSFs), approved deposit funds and RSA providers. At a minimum, their IDR process must be able to deal with complaints made by a superannuation fund member or third-party beneficiary who is: (a) eligible to make a complaint to AFCA under s1053 of the Corporations Act; or (b) taken to be a member of a regulated superannuation fund or approved deposit fund, or a holder of an RSA, under s1053A of the Corporations Act.",4,batch_4_chunk_9,ASIC RG 271,agentic_rg_aware,525,True,True,True,False,False,True
IDR process coverage for superannuation and related complaints,['RG 271.42'],requirement,"This means that the IDR process must accept and deal with complaints made by: (a) superannuation product holders: (i) members or former members of a regulated superannuation fund (but not an SMSF); (ii) beneficiaries or former beneficiaries of an approved deposit fund; (iii) people with an interest in a superannuation annuity policy issued by a life company; (iv) holders or former holders of an RSA; and (v) people with an interest in an insurance contract where the premiums are paid from an RSA; (b) beneficiaries with an interest in a death benefit; and (c) parties (and intending parties) to an agreement under the Family Law Act 1975 or order affecting superannuation, including: (i) a member, beneficiary or RSA holder’s spouse or former spouse who is party to an agreement, or subject to an order about that person’s superannuation interest; and (ii) someone eligible to request information about that superannuation interest.",5,batch_5_chunk_0,ASIC RG 271,agentic_rg_aware,936,True,True,True,False,False,True
IDR process coverage for credit-related complaints,['RG 271.43'],requirement,"At a minimum, an IDR process for credit must be able to handle complaints made about the credit activities engaged in by the credit licensee or its credit representatives, or an unlicensed COI lender: s47(1)(h) of the National Credit Act and Sch 2 to the National Credit Regulations. This will involve covering complaints made by consumers of credit, lessees and guarantors as defined under the National Credit Act.",5,batch_5_chunk_1,ASIC RG 271,agentic_rg_aware,415,True,True,True,False,False,True
Encouragement for broader IDR coverage including small business complaints,['RG 271.44'],other,"We encourage firms to develop IDR processes that have broader coverage than outlined at RG 271.43, and that are consistent with the nature of their business and their dealings with consumers and investors. In particular, we encourage all credit licensees to deal with complaints from small businesses—as defined in the AFCA Rules—under their IDR processes.",5,batch_5_chunk_2,ASIC RG 271,agentic_rg_aware,356,True,True,True,False,False,True
Outsourcing of IDR processes by financial firms,['RG 271.45'],requirement,"Some financial firms outsource part, or all, of their IDR process. Outsourcing might be to external parties or to other entities within a related corporate group.",5,batch_5_chunk_3,ASIC RG 271,agentic_rg_aware,162,True,True,True,False,False,True
Responsibility of financial firms for outsourced IDR processes,['RG 271.46'],requirement,"A financial firm that outsources part, or all, of its IDR process remains responsible for ensuring that the service provider’s IDR processes comply with all the requirements in this regulatory guide.",5,batch_5_chunk_4,ASIC RG 271,agentic_rg_aware,199,True,True,True,False,False,True
Consumer accessibility and approach in outsourced IDR processes,['RG 271.47'],requirement,Outsourcing should also be done in a way that ensures accessibility for consumers and maintains a consumer-centric approach.,5,batch_5_chunk_5,ASIC RG 271,agentic_rg_aware,124,True,True,True,True,False,False
Obligations for firms outsourcing IDR processes,['RG 271.48'],requirement,"Firms that outsource part, or all, of their IDR process must: (a) have measures in place to ensure that due skill and care is taken in choosing suitable service providers; (b) monitor the ongoing performance of service providers; and (c) appropriately deal with any actions by service providers that breach service level agreements or fall short of their obligations under this regulatory guide.",5,batch_5_chunk_6,ASIC RG 271,agentic_rg_aware,395,True,True,True,False,False,True
Overview of maximum IDR timeframes and response requirements,"['RG 271.49', 'RG 271.50']",overview,This section sets out: • when financial firms should acknowledge a complaint; • what financial firms must include in an IDR response; • the maximum timeframes that financial firms have to provide an IDR response; and • when a financial firm does not have to provide an IDR response within the maximum IDR timeframe. We also set out our expectations about how firms’ IDR processes will interact with AFCA. Timeliness is central to effective complaint management and is a key performance measure of a firm’s IDR process. Findings from ASIC’s research into the consumer experience of the IDR journey indicate that delays and frictions in the IDR process can create real barriers for consumers and damage the consumer–firm relationship. Note: See Report 603 The consumer journey through the Internal Dispute Resolution process of financial service providers (REP 603). Important measures of timeliness include the length taken to acknowledge a complaint and to provide the complainant with an IDR response.,5,batch_5_chunk_7,ASIC RG 271,agentic_rg_aware,1002,True,True,True,False,False,True
