text,label
"On XX/XX/year>, I opened a Cash Management Account with XXXX XXXX using the promotion code XXXX. The XXXX promotion offered a cash bonus of {$1000.00} for bringing in {$20000.00} of new assets within 45 days and then bringing in an additional {$230000.00} of assets within 90 more days. I fulfilled the terms of the offer by bringing in {$20000.00} of assets on XX/XX/year>, and a further {$230000.00} of new assets by XX/XX/year>, which was within 90 days of XX/XX/year>. On XX/XX/year>, XXXX paid me a cash bonus of only {$400.00} instead of the {$1000.00} that I am entitled. The same day, XX/XX/XXXX, I called XXXX to explain the error and they assured me they would escalate it for an exception. Weeks later on XX/XX/year>, I still had not heard back from them. When I called to inquire about the status of the the exception request, they informed me that it had been denied and they cited criteria that wasn't met ; however, this criteria appears no where in the terms & conditions of the offer. They refused to re-consider the exception request even after acknowledging that the rationale they used for denying the request isn't in their published terms & conditions.",Checking or savings account
"In XX/XX/year> and again in XX/XX/year> I attempted to make incoming wire transfer to a checking account and a savings account at Wells Fargo Bank. Both the sending accounts and receiving accounts are in my name complete with my identity information. 

Both times the Wells Fargo Bank rejected and reversed the wire transfers. Th Wells Fargo Bank is illegally preventing incoming wire transfers from international countries and I am suffering financial poverty because of their actions.",Checking or savings account
"In XX/XX/XXXX, I obtained a VA-backed mortgage through XXXX XXXX XXXX  XXXX for {$140000.00} on a property I purchased seven months earlier for {$120000.00}. The property had sustained flood damage during Hurricane Katrina. An appraisal was obtained valuing the property at {$180000.00} a {$62000.00} inflation above the documented purchase price. 
The XXXX XXXX XXXX XXXX XXXX XXXX records show this mortgage ( Instrument No. XXXX ) was CANCELLED BY NOTE on XX/XX/XXXX. XXXX  XXXX  XXXX confirms the loan was marked INACTIVE effective XX/XX/XXXX. 
Despite this cancellation, Wells Fargo collected a {$140000.00} payoff on the already-cancelled debt in XX/XX/XXXX, then originated a brand new VA loan for {$140000.00} at 3.75 % resetting my 30-year mortgage clock. This constitutes collection on a void debt and unjust enrichment. 
Wells Fargo subsequently assigned this void mortgage to XXXX XXXX XXXX XXXX XXXX XXXX on XX/XX/XXXX ( Instrument No. XXXX ). XXXX XXXX continues collecting on this fraudulent assignment. 
I have dated screenshots showing XXXX  data existed on XX/XX/XXXX. After I filed this CFPB complaint and Wells Fargo responded on XX/XX/XXXX, the XXXX  record was purged by XX/XX/XXXX, now reading "" all other data has been purged. '' I am requesting full investigation and criminal referral to DOJ.",Mortgage
"I am disputing this Credit Acceptance auto account due to inaccurate and unverified reporting. This account involves a repossession, yet I have not received any legally required documentation regarding the disposition of the vehicle. 

To date, I have not been provided the date of sale, sale price, or a complete, itemized breakdown explaining how the alleged deficiency balance was calculated. Without this information, the balance being reported is not verifiable and is formally disputed. 

Additionally, this account is being reported as a repossession every month from XXXX through XXXX. A repossession is a single event, not a recurring monthly status. This pattern of reporting appears inaccurate and may constitute improper re-aging or misleading reporting under the Fair Credit Reporting Act. 

I am requesting the Date of First Delinquency ( DOFD ), full payment history, and all documentation supporting the repossession, sale, and balance calculation. 

You are required under federal law to conduct a reasonable investigation. A generic verification is insufficient. Failure to provide proper documentation or correct this reporting may constitute noncompliance with the FCRA. 

If this account can not be fully validated, it must be deleted immediately from my credit report. 

I request all communication be in writing.",Vehicle loan or lease
"I accepted a {$12000.00} balance transfer offer from XXXX XXXX XXXXy that included a 4.99 % balance transfer fee of {$590.00} and a 0 % promotional APR through XX/XX/XXXX. 

My account payment due date was the XXXX of each month, and my autopay was scheduled to process on the XXXX. 

Prior to the payment date, XXXX mailed me a notice regarding my autopay settings and the promotional balance on the account. The notice itself was dated XX/XX/XXXX. However, the envelope containing the notice was postmarked XX/XX/XXXX, only days before the scheduled XX/XX/XXXX autopay processing date. I am attaching copies of both the notice and envelope. 

The notice specifically stated : If you want to change your autopay amount before the payment happens please do so before the scheduled payment date. 

The notice did not disclose that autopay changes required XXXX business days advance notice. Based on the wording of the notice, I reasonably understood that I could modify the autopay before the scheduled payment date. 

After receiving the notice, I attempted to stop or modify the autopay on XX/XX/XXXX. I also contacted customer service that same evening. I was informed that the payment was already processing and that nothing could be done at that point. I was instructed to wait until the payment posted and then call back afterward. 

The payment subsequently posted on XX/XX/XXXX, unintentionally paying off the promotional balance in full and terminating the promotional APR arrangement. 

Immediately after the payment posted, I contacted XXXX again and requested : A partial refund/reversal of {$11000.00} of the payment amount ; and Restoration of the original 0 % promotional APR through XX/XX/XXXX. 

During that conversation, I was informed that : -the refund request could take up to XXXX weeks ; and -the promotional APR review would take several days. 

On XX/XX/XXXX, {$11000.00} was restored back onto the credit card balance. However, the promotional APR was not restored. Instead, the reinstated balance began accruing interest at the standard APR. 

I contacted XXXX again on XX/XX/XXXX, because the refunded funds still had not been returned to the originating XXXX brokerage account. During that call, I was informed that the refund would be direct deposited back into the brokerage account and that the refund timeline was approximately XXXX business days from XX/XX/XXXX, when the balance was restored to the account. 

As of XX/XX/XXXX, I was also informed that no determination had yet been made regarding restoration of the promotional APR and that additional review time would be required. This was despite earlier representations that the APR review would take only several days. 

In the meantime, the reinstated balance remains subject to the standard APR rather than the original promotional APR, resulting in ongoing interest accrual while the review remains pending. 

I believe the notice and timing issues were unfair and misleading. I relied on the instructions provided in the mailed notice and acted promptly once the notice was received. However, because the notice was mailed only days before the scheduled payment date and did not disclose the earlier operational cutoff later referenced by XXXX representatives, I did not have a meaningful opportunity to prevent the autopay from processing. 

Additionally, I relied on the guidance provided by XXXX customer service representatives, who instructed me to wait until the payment posted before requesting corrective action.",Credit card
"I was sold a loan through Monterrey Financial to pay for tax relief services from XXXX XXXX based on representations that my tax debt could be reduced or resolved. I incurred approximately {$3700.00} in debt for these services. The result was an IRS payment plan that I could have arranged directly myself, and my tax debt was not reduced. I was induced into financing services before a meaningful analysis of my actual eligibility for tax relief was provided. I am requesting a review of this financing arrangement and the circumstances under which it was originated, as I am not tight to a loan that I was encouraged to agree to but did not received the tax assistance that was advertised","Payday loan, title loan, personal loan, or advance loan"
"To whom it may concern : I received a letter in the mail from you recently specifying that I owe your company or who ever your company represents for an alleged debt. 
The date of the letters is XXXX, the account number on the document is XXXX and the alleged amount owed is {$200.00} I am as a result of this requesting that you confirm the fact that I owe this debt as required by any applicable state and federal laws ( 12 CFR Part 1006 - PART 1006 / 15 U.S. Code 1692g ). If you need to please contact the creditor to obtain verification of this alleged debt. 
Also, under the provisions of state and federal Fair Debt Collection Practices Act ( FDCPA ), Fair Credit Reporting Act ( FCRA ), and related consumer statutes, I am at this moment instructing you to cease collection of the debt while efforts are made to obtain verification. Until you resolve this error with the creditor, you should neither contact me nor anyone else except the creditor about this collection. 
Furthermore, any reporting of this matter to credit reporting agencies is premature. Until you have investigated my dispute, you should not relay negative information to a credit reporting agency. If negative information has already been reported, you must notify the agency to remove said report until the investigative process is over so that my credit report remains accurate, or at the very least, my credit report should be updated to reflect my dispute. 
Your next contact with me should be to either notice that the creditor has failed to verify the debt and that the matter has been closed or that you believe that this debt is valid and are providing proof of my responsibility. If the former, please confirm that I am not being held responsible for the debt in writing and also that if the account has already been noted on my credit report, that you will contact the bureau ( s ) in question to have the account removed. If the latter, I expect that you will provide me with an explanation as to why you have decided not to remove this account from collections and a copy of all documents relevant to the debt such as the application, bills, records of communications and payments, and any other data that indicates my responsibility. 
I am instructing you not to contact any third parties such as my employer, neighbors, friends or family members. Also, you may not contact me by phone at work or my home about this collection activity. All future correspondence should be sent to me in writing. 
Please acknowledge that you have received this notice within XXXX  days. 
Sincerely XXXX XXXX Please send your written response to my address of XXXX XXXX XXXX XXXX XXXX XXXXXXXX",Debt collection
"After I file an inquiry regarding option to reverse a crypto transaction the company decided to restrict my account and prevent me from getting access to my funds with no reasonable explanation. On XX/XX/XXXX I performed 2 transactions with XXXX end since I didn't get what I was promised I was inquire with Kraken if there's any way to locate the receiver had to file a complaint, in exchange for that the company decided to put sanction on my account and to restrict access into my electronic assets, I've been trying to contact the company through emails and through social media since they don't have any option to call customer service and all I'm getting is bogus answer and no reasonable explanation why they're holding my funds, in one of the e-mail they want me to respond with some statement that basically said that my account is safe and everything is OK and I have no problem activate my account, and I did it I did it many times and today is still XX/XX/XXXX and my account is still frozen and I can not get access to my account and it feel like they're holding me bullied and there's nobody to talk to, I'm asking the CFPB to ask this company to release my account and give me the option to use my crypto because it's belong to me and also because I did not did any violation that justified this type of bully","Money transfer, virtual currency, or money service"
"I order a prototype for a heavy duty, heavy chewer dog toy from XXXX, they sent me a babys plush. When I messaged them about the product not meeting the specifications they told me they sent me a childs plush and are now refusing a refund. Wells Fargo did zero investigation as I have it all in text. I just want my money back at this point. This was completely negligent and couldve killed the dog.",Checking or savings account
"Since XXXX, I have been experiencing a recurring issue when attempting to make my monthly mortgage payments through the Freedom Mortgage website.

Each time I submit a payment, the transaction initially appears to process successfully, and the funds are withdrawn from my bank account. However, several days later, the payment is marked as reversed on the Freedom Mortgage system. Despite this, the funds are not returned to my bank account. As a result, I am forced to contact my bank to recover the funds and then attempt to make the payment again multiple times until it eventually goes through successfully.

I have contacted Freedom Mortgage customer support each time this issue has occurred. I have been provided with ACH return code R11, but I have not received a clear explanation or a permanent resolution. My bank has confirmed that the withdrawals are valid and that the funds are successfully leaving my account, and that the reversal is occurring after the fact.

This issue has persisted for several months. In XXXX, it became particularly severe, requiring approximately six separate attempts to successfully complete a single monthly payment. XXXX has continued to present similar issues.

I have spent approximately 1015 hours on the phone with Freedom Mortgage representatives attempting to resolve this issue. While customer service has consistently waived any late fees associated with these payment issues, the underlying problem has not been resolved.

At this point, I am requesting a permanent fix so that I can reliably make my monthly mortgage payment once per month without repeated failed transactions, reversals, or the need to involve my bank or customer support. This ongoing issue is causing significant inconvenience and administrative burden and prevents me from being able to make payments through the normal and expected process.",Mortgage
"Company : Barclays Bank / JetBlue Credit Card Account : JetBlue Credit Card ending in XXXX Merchant : XXXX XXXX XXXX Disputed Amount : {$1400.00} Transaction Date : XX/XX/year> Complaint Date : XX/XX/year> To the Consumer Financial Protection Bureau : I am filing this complaint regarding Barclays Banks mishandling of a disputed charge on my JetBlue credit card ending in XXXX. The charge was from XXXX XXXX XXXX in the amount of {$1400.00}, posted on or around XX/XX/year>, for services that were not rendered and that should have been refunded. 

This matter remains unresolved despite the merchant confirming in writing that the charge was refunded or should have been refunded. I have written documentation from the merchant stating that the refund was processed/approved, yet Barclays continues to state that the charge is non-refundable. Barclays temporarily credited the charge during the dispute process but later recharged the amount to my account. The dispute was reopened, but Barclays has since closed it again without issuing the refund. I have still not received the refund. 

I am now stuck between the merchant and Barclays. The merchant is stating that the refund was issued or that the charge should be refunded, while Barclays is refusing to permanently reverse the charge and is treating the transaction as non-refundable. This is especially concerning because I was informed during the dispute process that Barclays may have spoken with the wrong individual at the hotel, which appears to have resulted in an inaccurate dispute determination. 

I personally contacted the hotel directly, and they confirmed that the charge should have been refunded in full. The hotel also advised that the issue appears to be on the credit card companys side and directed me to have Barclays contact the correct hotel representative directly. 

The appropriate contact at the hotel is : XXXX XXXX, General Manager XXXX  by XXXX XXXX XXXX XXXX : XXXX Email : XXXX XXXX XXXX and the hotel staff have records of the original refund discussion and can confirm that the transaction should have been fully refunded. 

I have spent countless hours attempting to resolve this issue, going back and forth between the merchant and Barclays. Despite escalating the matter with Barclays, I have not received meaningful assistance or a proper resolution. Barclays has reclosed the dispute even though the merchant has provided confirmation supporting the refund. I believe Barclays failed to conduct a proper and complete investigation before reapplying the charge to my account. 

I am requesting that Barclays immediately : Permanently credit the full disputed amount of {$1400.00} back to my account. 
Reopen and properly reinvestigate the dispute using the written merchant documentation I have provided. 
Contact the correct hotel representative, XXXX XXXX, directly to verify the refund information. 
Provide written documentation explaining the basis for any decision made on the dispute. 
Stop any collection activity, interest charges, fees, or negative credit reporting related to this disputed amount while the matter is being reviewed. 

I have been a loyal JetBlue Barclays cardholder for years and have used this account significantly. However, this dispute has been mishandled, and I have not received the support or proper investigation I should reasonably expect from my credit card issuer. 

I am asking the CFPB to assist in obtaining a proper review and resolution of this matter. The merchant has confirmed the refund issue in writing, yet I remain charged {$1400.00}. I am requesting that Barclays correct this immediately and provide written confirmation once the credit has been permanently applied. 

Sincerely, XXXX XXXX",Credit card
"CLAIM # XXXX XXXX To who it may concern my name is XXXX XXXX and I am writing this letter to inform bank of America that I been going through so much dealing with my claim which is XXXX XXXX AND CHECK NUMBER XXXX XXXX GETTING IT BACK AND I BEEN GOING THROUGH THIS FOR A WHILE ITS GOING ON 4 YEARS. I HAVE BEEN CONSTANTLY SENDING PROOF OF INCARCERATION ALSO BANKSTATEMENTS STATING THAT XXXX XXXX DIDN'T CASH A CHECK THERE BUT BANK OF AMERICA CONSTANTLY DENIEING MY CLAIM WITH OUT DOING A PROPER INVESTAGATION BECAUSE IF THEY DID I WOULD HAVE MY FUNDS.I HAVE SENT SEVERAL DOCUMENTS SUPPORTING MY CLAIM .. DURING THE TIME THE CHECK WAS CASHED WHICH WAS ON XXXX I WAS INCARCERATED I HAVE BEEN GOING THROUGH LEGAL TROUBLE FOR ALMOST 5 YEARS WHICH IS NOW BEHIND ME.. NOW IM ABLE TO GET EVERYTHING THAT WAS TOOK OR STOLEN FROM ME WHILE I WAS INCARCERATED ... ALSO THE ID THAT YOU GUYS HAVE ON FILE FROM THAT CHECK IS NOT MY ID SOMEONE OBVISIOUSLY WENT TO THE KIOSK MASHINE AND USED MY SOCIAL TO PRINT THAT ID.WITH THEM HAVING MY SOCIAL SECURITY NUMBER THEY WAS ABLE TO DO A LOT OF THINGS. THE RECORD WILL SHOW THAT I BEEN GOING THROUGH A LOT OF TROUBLE GETTING MY MONEY FROM YOU GUYS.YOU GUYS BEEN DENIEING ME AFTER DENIAL WITH OUT DOING PROPER INVESTAGATION .. XXXX XXXX  EVEN TRIED TO HELP ME GET MY FUNDS FROM BANK OF AMERICA EVEN AFTER THEY WROTE A STATEMENT SAYING XXXX XXXX DIDN'T CASH A CHECK AT THERE BRANCH AND SAW BOA STILL DIDN'T RETURN FUNDS THIS IS REDICULOUS I REALLY NEED MY FUNDS... I WILL BE SENDING MY OTHER PROOF OF INCARCERATION FORM BUT BOA IS STILL HOLDING SERIOUS DOCUMENTS PROVING MY WRIGHT TO MY CHECK... I FINALY JUST GOT XXXX FROM ONE OF THE TWO CLAIMS NOW I NEED MY XXXX DOLLAS FROM MY OTHER CLAIM THAN I WILL THAN HAVE WHATS RIGHTFULLY MINES .. I BEEN GOING THROUGH A HEADACHE DEALING WITH BOA... 
I also sent proof of first state bank proving and writing a letter that I didnt cash the check",Checking or savings account
"On or around XX/XX/year>, U.S. Bank closed my savings account I have {$590.00} on that account. I was told I would receive a check in the mail with an explanation. My checking account was still open at that time and had approximately {$1800.00} in it. 
Yesterday, I deposited a check for about {$690.00}, which only XXXX posted to the account. Today, I noticed my balance had dropped significantly with no visible transaction. When I called U.S. Bank, they informed me that they have now closed my checking account as well. Both accounts are closed. 
I asked when I would receive my money, as I need it to pay rent and bills this month. They stated that I have an active dispute that does not expire until XX/XX/year>, and they are holding all of my funds over {$2600.00} until then. The dispute in question is for less than XXXX. 
This has created a severe financial hardship. I do not understand why a small dispute allows them to freeze my entire balance for approximately three months, especially after they closed both accounts without prior notice.

I am requesting that U.S. Bank immediately release my funds, minus only the disputed amount if necessary, and provide a written explanation for the account closures and the hold.",Checking or savings account
"XXXX XXXX sent a {$270.00} collection to Radius Global Solutions for unreturned equipment from XXXX, even though I returned the modem/router box to a XXXX  store XXXX XXXX, AZ when I canceled service and moved. 
On my recent call with XXXX, the representative located my old account using my security question, confirmed there is no pending equipment return in their system, but still referred me to Radius instead of recalling the debt. This is a common XXXX tracking error. 
I have disputed the account with the credit bureaus and sent a formal debt validation letter to Radius. The collection is inaccurate and continues to harm my credit.",Debt collection
