query_name,rank_within_query,id,distance,title,rg_refs,chunk_type,text
idr_timeframes,1,rg271_chunk_57,0.35919591784477234,Overview of maximum IDR timeframes and response requirements,"['RG 271.49', 'RG 271.50']",overview,This section sets out: • when financial firms should acknowledge a complaint; • what financial firms must include in an IDR response; • the maximum timeframes that financial firms have to provide an IDR response; and • when a financial firm does not have to provide an IDR response within the maximum IDR timeframe. We also set out our expectations about how firms’ IDR processes will interact with AFCA. Timeliness is central to effective complaint management and is a key performance measure of a firm’s IDR process. Findings from ASIC’s research into the consumer experience of the IDR journey indicate that delays and frictions in the IDR process can create real barriers for consumers and damage the consumer–firm relationship. Note: See Report 603 The consumer journey through the Internal Dispute Resolution process of financial service providers (REP 603). Important measures of timeliness include the length taken to acknowledge a complaint and to provide the complainant with an IDR response.
idr_timeframes,2,rg271_chunk_97,0.40179842710494995,Purpose of enforcement action restrictions and reasonable time period,['RG 271.90'],requirement,RG 271.90 This will enable the complaint to be genuinely dealt with at IDR. The ‘reasonable time thereafter’ will also allow the complainant the opportunity to lodge their complaint with AFCA if the complaint cannot be resolved at IDR.
idr_timeframes,3,rg271_chunk_27,0.40897315740585327,Contents of the Guide Regarding IDR and AFCA Interaction,"['RG 271.22', 'RG 271.106']",overview,This guide sets out: (a) the definition of ‘complaint’ set out in AS/NZS 10002:2014 (see RG 271.106); (d) our requirements for how financial firms’ IDR processes and procedures will interact with AFCA.
idr_timeframes,4,rg271_chunk_178,0.4236527681350708,Contents of a firm's complaints policy,['RG 271.173'],requirement,"RG 271.173 A firm’s complaints policy should explain: (a) how consumers may lodge a complaint with the firm (e.g. online, by email, by phone and in person); (b) the options available to assist complainants who might need additional assistance to lodge a complaint; (c) the firm’s key steps for dealing with complaints, including acknowledgement, assessment and investigation, and provision of an IDR response; (d) response timeframes; and (e) details about accessing AFCA where a complaint is not resolved."
idr_timeframes,5,rg271_chunk_72,0.4287983477115631,Factors affecting complaint response times,['RG 271.63'],other,"There are many variables that can affect complaint response times. This includes the complexity of the issues raised and the availability of information, including from third parties. However, we consider that the pursuit of best practice should result in firms regularly meeting or outperforming the maximum IDR timeframes."
debt_collection_dispute,1,rg271_chunk_41,0.6382143497467041,Clarification of what is not a complaint,['RG 271.33'],definition,"RG 271.33 For avoidance of doubt, we do not consider the following to be ‘complaints’: (a) employment-related complaints raised by financial firm staff; (b) comments made about a firm where a response is not expected, such as: (i) feedback provided in surveys; or (ii) reports intended solely to bring a matter to a financial firm’s attention—for example, that an automatic teller machine (ATM) is damaged; (c) hardship notices or requests to postpone enforcement proceedings, unless the customer raises issues that meet the definition of complaint; and (d) reports of unauthorised transactions under the ePayments Code and disputed transactions under a chargeback process. However, we consider that a complaint has been made if the consumer raises separate issues related to the transaction that meet the definition of a complaint, or expresses dissatisfaction with the outcome or handling of the unauthorised or disputed transaction. Note: The ePayments Code contains special arrangements for dealing with reports of unauthorised transactions."
debt_collection_dispute,2,rg271_chunk_109,0.7717353105545044,Complaints involving hardship and default notices,['RG 271.101'],other,"We recognise that complaints involving hardship notices or postponement of enforcement proceedings may also involve issues relating to default notices. A complainant may lodge their complaint directly with AFCA if the complaint involves a default notice, issued after a credit provider, credit service provider or lessor has not responded to and/or decided not to grant a change to the terms of the credit contract or lease for hardship or postponement of enforcement proceedings. Where this is the case,"
debt_collection_dispute,3,rg271_chunk_37,0.8014293909072876,Proactive approach to identifying complaints,['RG 271.30'],requirement,"We expect firms to take a proactive approach to identifying complaints. A response or resolution is ‘explicitly expected’ if a consumer clearly requests it. It is ‘implicitly expected’ if the consumer raises the expression of dissatisfaction in a way that implies the consumer reasonably expects the firm to respond and/or take specific action. A consumer or small business is not required to expressly state the word ‘complaint’ or ‘dispute’, or put their complaint in writing, to trigger a financial firm’s obligation to deal with a matter according to our IDR requirements. Note: Our guidance about accessibility of the IDR process, including complaint lodgement methods, is set out in"
debt_collection_dispute,4,rg271_chunk_96,0.8132421970367432,Restrictions on enforcement actions during complaint handling,['RG 271.89'],requirement,"RG 271.89 Credit providers (including debt collectors), credit service providers, their credit representatives and unlicensed COI lenders must refrain from commencing or continuing with legal proceedings or any other enforcement action (i.e. debt collection activity) against the complainant. Unless the statute of limitations is about to expire, this applies: (a) while the complaint is being handled at IDR (during the 21 calendar days); and (b) for a reasonable time thereafter. Note: We also expect financial firms to comply with RG 271.89 while they are considering a hardship notice or request to postpone enforcement proceedings."
debt_collection_dispute,5,rg271_chunk_124,0.8231171369552612,Systemic issues and consumer complaints,['RG 271.117'],overview,"Consumer complaints are a key risk indicator for systemic issues within a financial firm. A systemic issue is a matter that affects, or has the potential to affect, more than one consumer. Some examples include: (a) a disclosure document that is inadequate or misleading; (b) a systems issue that produces errors—for example, benefit calculation errors or interest calculation errors; (c) a unit pricing error that incorrectly allocates investment earnings to members; (d) a documented procedure that does not comply with legal requirements—for example, it permits privacy requirements to be breached; (e) a procedural weakness that is liable to recur; (f) an erroneous interpretation of a superannuation trust deed provision; and (g) a group insurance administration error that does not record cover for eligible members."
